select s.operator_code, s.line_name, t.operator_code, t.line_name, t.service_description, count(*) from sirivm_journeys as s left join timetable_journeys as t on s.departure_time = t.departure_time and s.origin = t.origin and s.destination = t.destination group by s.operator_code, s.line_name, t.operator_code, t.line_name, t.service_description order by s.operator_code, s.line_name, t.operator_code, t.line_name;
+-----------------+-------------+-----------------+----------------------------+--------------------------------------------------------------------------------------+---------+
| operator_code   | line_name   | operator_code   | line_name                  | service_description                                                                  | count   |
| SCNH            | 2           | SCNH            | 2                          | Corby Town Centre - Weldon Industry - Priors Hall                                    | 7       |
| SCNH            | 23          | SCNH            | 23                         | Peterborough - Lynch Wood                                                            | 12      |
| SCNH            | 23          | SCPB            | 23                         | Peterborough - Lynch Wood                                                            | 1       |
| SCNH            | 24          | SCNH            | 24                         | Peterborough - Oundle - Thrapston                                                    | 13      |
| SCNH            | 2A          | SCNH            | 2A                         | Corby Estates - Corby Town Centre - Weldon Industry - Asda                           | 5       |
| SCNH            | 2B          | SCNH            | 2B                         | Kettering - Corby - Weldon Industry                                                  | 1       |
| SCNH            | 3           | SCNH            | 3                          | Shire Road - Corby Town Centre - Danesholme                                          | 127     |
| SCNH            | 4           | SCNH            | 4                          | Corby Town Centre - Corby Estates - Earlstrees Industry                              | 6       |
| SCNH            | 4           | <null>          | <null>                     | <null>                                                                               | 1       |
| SCNH            | 44          | SCNH            | 44                         | Barnwell Road - Wellingborough - Irthlingborough                                     | 8       |
| SCNH            | 45          | SCNH            | 45                         | Berrymoor - Wellingborough - Irthlingborough - Raunds                                | 24      |
| SCNH            | 48          | SCNH            | 48                         | Burton Latimer - Kettering Town Centre                                               | 4       |
| SCNH            | 49          | SCNH            | 49                         | Rushden Lakes - Rushden - Irthlingborough - Finedon - Kettering                      | 26      |
| SCNH            | 50          | SCNH            | 50                         | Bedford - Rushden - Kettering                                                        | 44      |
| SCNH            | 89          | SCNH            | 89                         | Northampton - Blisworth - Towcester - Deanshanger - Milton Keynes                    | 8       |
| SCNH            | 9           | SCNH            | 9                          | Kettering : Town Centre - Brambleside - Northfield Avenue - Town Centre              | 10      |
| SCNH            | 91          | SCNH            | 91                         | Milton Keynes - Old Stratford - Deanshanger - Buckingham                             | 3       |
| SCNH            | D1          | SCNH            | D1                         | Northampton - Weedon - Daventry - Grange Estate                                      | 1       |
| SCNH            | RL1         | SCNH            | RL1                        | Kings Heath - Northampton - Rushden Lakes                                            | 6       |
| SCNH            | W1          | <null>          | <null>                     | <null>                                                                               | 35      |
| SCNH            | W2          | <null>          | <null>                     | <null>                                                                               | 36      |
| SCNH            | X1          | SCNH            | X1                         | Priors Hall - Asda - Corby Town Centre - Kettering - Burton Latimer                  | 48      |
| SCNH            | X10         | SCNH            | X10                        | West Hunsbury - Northampton - Broughton - Kettering - Desborough - Market Harborough | 43      |
| SCNH            | X4          | SCNH            | X4                         | Milton Keynes - Northampton - Corby - Peterborough                                   | 107     |
| SCNH            | X4          | <null>          | <null>                     | <null>                                                                               | 22      |
| SCNH            | X44         | SCNH            | X44                        | Wellingborough - Earls Barton - Brackmills                                           | 6       |
| SCNH            | X47         | SCNH            | X47                        | Northampton - Earls Barton - Great Doddington - Wellingborough - Rushden - Raunds    | 33      |
| SCNH            | X7          | SCNH            | X7                         | Milton Keynes - Northampton - Brixworth - Market Harborough - Leicester              | 19      |
| SCNH            | X89         | SCNH            | X89                        | Northampton - Blisworth - Towcester - Deanshanger - Milton Keynes                    | 5       |
| WP              | 31          | WHIP            | 31                         | Cambridge - Stapleford - Fowlmere                                                    | 11      |
| WP              | 400         | WHIP            | 400                        | Huntingdon - Spaldwick - Huntingdon                                                  | 1       |
| WP              | 478         | <null>          | <null>                     | <null>                                                                               | 4       |
| WP              | 6           | WHIP            | 6                          | St Neots - Papworth Everard - Hilton                                                 | 1       |
| WP              | 61          | WHIP            | 61                         | Eynesbury - St Neots - Eaton Socon Circular                                          | 5       |
| WP              | 62          | WHIP            | 62                         | Eynesbury - Town Centre - Eaton Ford - Eaton Socon - Town Centre - E                 | 2       |
