2017-10-27,06:20:00,0500CCITY242,0500SFULB020,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-34-T0
2017-10-27,06:40:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-35-T0
2017-10-27,06:50:00,0500CCITY242,0500SFULB020,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-36-T0
2017-10-27,07:00:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-37-T0
2017-10-27,07:10:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-38-T0
2017-10-27,07:20:00,0500CCITY242,0500SFULB020,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-39-T0
2017-10-27,07:30:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-40-T0
2017-10-27,07:40:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-41-T0
2017-10-27,07:50:00,0500CCITY242,0500SFULB020,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-42-T0
2017-10-27,08:00:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-43-T0
2017-10-27,08:10:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-44-T0
2017-10-27,08:20:00,0500CCITY242,0500SFULB020,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-45-T0
2017-10-27,08:30:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-46-T0
2017-10-27,08:40:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-47-T0
2017-10-27,08:50:00,0500CCITY242,0500SFULB020,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-48-T0
2017-10-27,09:00:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-49-T0
2017-10-27,09:10:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-50-T0
2017-10-27,09:20:00,0500CCITY242,0500SFULB020,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-51-T0
2017-10-27,09:30:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-52-T0
2017-10-27,09:40:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-53-T0
2017-10-27,09:50:00,0500CCITY242,0500SFULB015,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-54-T0
2017-10-27,10:00:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-55-T0
2017-10-27,10:10:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-56-T0
2017-10-27,10:20:00,0500CCITY242,0500SFULB020,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-57-T0
2017-10-27,10:30:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-58-T0
2017-10-27,10:40:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-59-T0
2017-10-27,10:50:00,0500CCITY242,0500SFULB020,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-60-T0
2017-10-27,11:00:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-61-T0
2017-10-27,11:10:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-62-T0
2017-10-27,11:20:00,0500CCITY242,0500SFULB020,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-63-T0
2017-10-27,11:30:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-64-T0
2017-10-27,11:40:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-65-T0
2017-10-27,11:50:00,0500CCITY242,0500SFULB020,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-66-T0
2017-10-27,12:00:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-67-T0
2017-10-27,12:10:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-68-T0
2017-10-27,12:20:00,0500CCITY242,0500SFULB020,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-69-T0
2017-10-27,12:30:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-70-T0
2017-10-27,12:40:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-71-T0
2017-10-27,12:50:00,0500CCITY242,0500SFULB020,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-72-T0
2017-10-27,13:00:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-73-T0
2017-10-27,13:10:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-74-T0
2017-10-27,13:20:00,0500CCITY242,0500SFULB020,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-75-T0
2017-10-27,13:30:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-76-T0
2017-10-27,13:40:00,0500CCITY242,0500SFULB008,20-1-A-y08-1,Arbury - City Centre - Addenbrookes - Cherry Hinton - Fulbourn,2017-10-10,2018-04-13,1|Citi,SCCM,VJ_20-1-A-y08-1-77-T0
